Bandit,Reward,Algorithm
2.0,3.0114931944884487,ThompsonSampling
2.0,3.3588484710324438,ThompsonSampling
2.0,3.217956446591318,ThompsonSampling
2.0,4.553347421639188,ThompsonSampling
2.0,2.749575130712864,ThompsonSampling
2.0,2.8515434221978597,ThompsonSampling
2.0,1.3297804680713454,ThompsonSampling
2.0,4.749132766921849,ThompsonSampling
2.0,1.5969277520661944,ThompsonSampling
2.0,2.5679095477200313,ThompsonSampling
2.0,2.1494377005832455,ThompsonSampling
2.0,3.7142190623196027,ThompsonSampling
2.0,2.3911060414354948,ThompsonSampling
2.0,2.8996113022243977,ThompsonSampling
2.0,2.4826566793653018,ThompsonSampling
2.0,1.34966100554757,ThompsonSampling
2.0,2.1166447866715243,ThompsonSampling
2.0,2.3229246999008697,ThompsonSampling
2.0,2.9853094116440433,ThompsonSampling
2.0,1.2472312419409624,ThompsonSampling
2.0,3.1495159603124905,ThompsonSampling
2.0,2.4787587156839033,ThompsonSampling
2.0,3.5481854254455647,ThompsonSampling
2.0,4.423591169353781,ThompsonSampling
2.0,2.2917732304007292,ThompsonSampling
2.0,2.1039584593151197,ThompsonSampling
2.0,3.406335528476655,ThompsonSampling
2.0,3.3431818490871534,ThompsonSampling
2.0,2.063047586630686,ThompsonSampling
2.0,1.2938052506056321,ThompsonSampling
2.0,3.5298196347640913,ThompsonSampling
2.0,3.0203278800590336,ThompsonSampling
2.0,1.3202050192547377,ThompsonSampling
2.0,3.80095952793545,ThompsonSampling
2.0,4.743378534088618,ThompsonSampling
2.0,3.0011824814656998,ThompsonSampling
2.0,2.5697613350788977,ThompsonSampling
2.0,3.4095223105283803,ThompsonSampling
2.0,2.4895243263171474,ThompsonSampling
2.0,2.5793112091972854,ThompsonSampling
2.0,4.632619524907819,ThompsonSampling
2.0,3.2886164563218983,ThompsonSampling
2.0,4.411121446605733,ThompsonSampling
2.0,3.9131431291796135,ThompsonSampling
2.0,2.5929637680716127,ThompsonSampling
2.0,1.7203409260339055,ThompsonSampling
2.0,3.26828427963363,ThompsonSampling
2.0,2.18467983437449,ThompsonSampling
2.0,1.1256740463999144,ThompsonSampling
2.0,3.522918993028344,ThompsonSampling
2.0,2.6500748897373123,ThompsonSampling
2.0,2.6255157758935335,ThompsonSampling
2.0,3.254911785403142,ThompsonSampling
2.0,2.26766251264932,ThompsonSampling
2.0,4.19067000485701,ThompsonSampling
2.0,2.1428568858349855,ThompsonSampling
2.0,2.771144142726206,ThompsonSampling
2.0,4.642538641767375,ThompsonSampling
2.0,2.6217648862511167,ThompsonSampling
2.0,3.2021162160280507,ThompsonSampling
2.0,3.6537876551546353,ThompsonSampling
2.0,1.7693846215814535,ThompsonSampling
2.0,3.200455500595766,ThompsonSampling
2.0,1.3479029724104683,ThompsonSampling
2.0,2.0143837933928976,ThompsonSampling
2.0,3.4312654262987032,ThompsonSampling
2.0,2.02400729552265,ThompsonSampling
2.0,4.532491151614952,ThompsonSampling
2.0,3.4605440032013544,ThompsonSampling
2.0,2.1164149657680777,ThompsonSampling
